image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00061,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7444_alvin-record_548320_Meny, Lorentzberg, 1883/0001.jpg",0.7671241202987042,0.8508057284500058,0.78673100042283,0.6638356320232771
00062,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7444_alvin-record_548320_Meny, Lorentzberg, 1883/0002.jpg",0.8577826805364074,0.922493070714614,0.8808024487464259,0.7700525221481822
00063,1883,"data/MA_Menyer/menus_by_year_swedish_only/1883/7444_alvin-record_548320_Meny, Lorentzberg, 1883/0003.jpg",0.6900867859162896,0.7899844502334957,0.7041128701850562,0.5761630373303167
00064,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0775_alvin-record_541933_Meny, 1885/0001.jpg",0.6416437784291644,0.7231678093534712,0.6694400834658187,0.5323234424682035
00065,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0775_alvin-record_541933_Meny, 1885/0002.jpg",0.7684528171768235,0.8622649765694631,0.7932473140179368,0.6498461609430705
00066,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0775_alvin-record_541933_Meny, 1885/0003.jpg",0.7274228343066785,0.8138983099135881,0.7513042097735321,0.6170659832329157
00067,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0001.jpg",0.5240568971595487,0.5465973970923986,0.5265180130271286,0.49905528135911903
00068,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0002.jpg",0.849364666843749,0.9207947537851348,0.876358622651647,0.7509406240944655
00069,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0003.jpg",0.8142996402281891,0.8840916244451762,0.8394259172885573,0.7193813789508341
00070,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0004.jpg",0.684666750798748,0.7707457168661508,0.7115010772454142,0.5717534582846786
00071,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0005.jpg",0.9009391306925996,0.9625741794081156,0.9333165132523232,0.80692669941736
00072,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0006.jpg",0.8894692462123052,0.9615946653259076,0.9183187085942052,0.7884943647168026
00073,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0007.jpg",0.8510669776171963,0.9281919152359221,0.8779682670481987,0.7470407505674682
00074,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/0779_alvin-record_541754_Meny, Vanadis, 1885/0008.jpg",0.523982633543546,0.5467229109274563,0.5263246814738293,0.4989003082293524
00075,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/3875_alvin-record_544798_Meny, Hotell Freden, 1885/3875 0001.jpg",0.7997078025752554,0.851605543185584,0.8237561921775753,0.7237616723626071
